Ma,So phien tang dai nhat,Muc tang tung phien trong chuoi (%),Tong % tang cua chuoi,Trung binh % tang moi phien,Mã,Final Decision,Decision Mode,Meta Allocation %,Meta Exposure,Regime Strength,Equity State,Meta Allocation %_meta,Decision Mode_meta,Nhóm realtime,Ưu tiên,Điểm V15.3 cuối cùng,Kết luận V15.3
CTG,7,"[0.19, 2.0, 0.5, 1.68, 2.99, 1.17, 1.03]",9.56,1.37,CTG,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
VCI,7,"[0.56, 0.91, 2.31, 0.96, 1.67, 1.23, 0.15]",7.79,1.11,VCI,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
VGC,7,"[3.92, 0.72, 1.46, 6.94, 6.86, 1.79, 6.65]",28.34,4.05,VGC,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
NBB,7,"[0.43, 2.77, 1.24, 1.23, 0.61, 6.84, 0.94]",14.06,2.01,NBB,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
SHS,7,"[2.14, 3.63, 0.48, 0.53, 1.47, 0.52, 0.46]",9.23,1.32,SHS,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
TPB,7,"[0.86, 0.62, 0.54, 0.54, 0.31, 0.3, 0.84]",4.01,0.57,TPB,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
CMG,7,"[1.28, 1.73, 0.51, 1.34, 0.35, 6.98, 3.26]",15.45,2.21,CMG,,,0.0,,,,,,,,4.0,KHÔNG ỔN ĐỊNH THEO REGIME
ACB,7,"[0.88, 0.87, 0.25, 0.41, 0.86, 1.75, 1.03]",6.05,0.86,ACB,,,0.0,,,,,,,,1.0,KHÔNG ỔN ĐỊNH THEO REGIME
PLX,7,"[1.71, 0.28, 0.56, 1.95, 5.46, 3.36, 0.5]",13.82,1.97,PLX,,,0.0,,,,,,,,1.0,KHÔNG ỔN ĐỊNH THEO REGIME
FCN,7,"[6.71, 4.57, 5.27, 1.88, 1.54, 3.33, 1.02]",24.32,3.47,FCN,,,0.0,,,,,,,,0.0,KHÔNG ỔN ĐỊNH THEO REGIME
SRC,7,"[7.01, 6.96, 6.54, 2.77, 1.91, 0.2, 1.31]",26.7,3.81,SRC,,,0.0,,,,,,,,0.0,
BAF,7,"[0.71, 0.74, 0.45, 0.28, 0.14, 0.14, 0.72]",3.18,0.45,BAF,,,0.0,,,,,,,,0.0,
NLG,7,"[1.22, 0.96, 1.09, 0.24, 2.46, 6.89, 0.96]",13.82,1.97,NLG,,,0.0,,,,,,,,0.0,
KBC,7,"[0.33, 0.5, 0.33, 0.83, 0.98, 0.65, 1.29]",4.91,0.7,KBC,,,0.0,,,,,,,,0.0,
SKG,7,"[1.22, 0.46, 2.85, 1.61, 1.23, 0.78, 2.67]",10.82,1.55,SKG,,,0.0,,,,,,,,0.0,
PHP,7,"[0.73, 1.93, 5.67, 2.67, 1.74, 3.62, 1.65]",18.01,2.57,PHP,,,0.0,,,,,,,,0.0,
