pattern,conditions,n,win,fail,flat,winrate_pct,failrate_pct,avg_ret_t2_pct,avg_ret_t5_pct,avg_drawdown_t5_pct,combo_size,rule_type,action,confidence
COMBO_3,stock_dist_ma20 3-8% + market_context risk-off + label:volatility_context_VOLATILITY_TRUNG_TÍNH,110,51,48,11,46.36,43.64,0.407,0.955,-4.755,3,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_3,stock_ret5 > 8% + stock_ret20 > 15% + label:volatility_context_VOLATILITY_TRUNG_TÍNH,39,18,17,4,46.15,43.59,0.899,1.015,-5.472,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_ret5 > 8% + market_context risk-off + label:risk_context_RISK_TRUNG_TÍNH,46,23,20,3,50.0,43.48,0.193,1.064,-5.743,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_ret5 > 8% + stock_ret20 > 15% + drawdown20 -10% to 0%,53,25,23,5,47.17,43.4,1.423,1.394,-5.915,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_ret5 > 8% + stock_ret20 > 15% + label:risk_context_PULLBACK_LÀNH_MẠNH,53,25,23,5,47.17,43.4,1.423,1.394,-5.915,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_ret5 > 8% + drawdown20 -10% to 0% + label:extension_context_TĂNG_NÓNG_TRƯỚC_SIGNAL,53,25,23,5,47.17,43.4,1.423,1.394,-5.915,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,market_dist_ma20 > 5% + market_context fomo/hưng phấn + label:risk_context_RISK_TRUNG_TÍNH,30,14,13,3,46.67,43.33,0.038,0.297,-5.563,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_ret5 > 8% + stock_ret20 > 15% + label:volume_context_VOLUME_TRUNG_TÍNH,37,17,16,4,45.95,43.24,0.238,0.048,-6.995,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_dist_ma20 3-8% + market_ret20 < -5% + market_context risk-off,81,37,35,9,45.68,43.21,0.923,1.792,-4.632,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_dist_ma20 3-8% + market_ret20 < -5% + label:entry_context_ENTRY_LƯNG_CHỪNG_TRÊN_MA20,81,37,35,9,45.68,43.21,0.923,1.792,-4.632,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_dist_ma20 3-8% + market_ret20 < -5% + label:market_context_MARKET_RISK-OFF,81,37,35,9,45.68,43.21,0.923,1.792,-4.632,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,market_ret20 < -5% + market_context risk-off + label:entry_context_ENTRY_LƯNG_CHỪNG_TRÊN_MA20,81,37,35,9,45.68,43.21,0.923,1.792,-4.632,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_ret5 > 8% + volatility_contraction20 > 1.3 + label:structure_context_KHÔNG_RÕ_NỀN,139,63,60,16,45.32,43.17,0.637,1.085,-5.869,3,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_3,stock_ret20 > 15% + stock_dist_ma20 > 8% + label:volume_context_VOLUME_TRUNG_TÍNH,72,33,31,8,45.83,43.06,0.278,0.53,-6.745,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_ret20 > 15% + stock_dist_ma20 > 8% + drawdown20 -10% to 0%,121,58,52,11,47.93,42.98,1.26,1.594,-6.049,3,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_3,stock_ret20 > 15% + stock_dist_ma20 > 8% + label:risk_context_PULLBACK_LÀNH_MẠNH,121,58,52,11,47.93,42.98,1.26,1.594,-6.049,3,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_3,stock_ret20 > 15% + drawdown20 -10% to 0% + label:entry_context_ENTRY_XA_MA20___FOMO,121,58,52,11,47.93,42.98,1.26,1.594,-6.049,3,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_3,stock_dist_ma20 > 8% + drawdown20 -10% to 0% + label:extension_context_TĂNG_NÓNG_TRƯỚC_SIGNAL,121,58,52,11,47.93,42.98,1.26,1.594,-6.049,3,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_3,volatility_contraction20 < 0.8 + market_context risk-off + label:extension_context_SUY_YẾU_TRƯỚC_SIGNAL,56,26,24,6,46.43,42.86,-1.47,-0.436,-4.7,3,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_3,stock_ret5 > 8% + market_context risk-off + label:market_context_MARKET_RISK-OFF,120,57,51,12,47.5,42.5,0.369,1.186,-5.517,3,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
